2024-01-01,莲花白,1.60元
2024-01-01,外地大白菜,1.00元
2024-01-01,胡萝卜,1.90元
2024-01-01,生菜,2.90元
2024-01-01,地瓜叶,2.70元
2024-01-01,韭菜,3.50元
2024-01-01,茄子,2.90元
2024-01-01,黄瓜,3.50元
2024-01-01,长豆角,5.30元
2024-01-01,尖椒,2.90元
2024-01-01,金丝白,3.00元
2024-01-01,南瓜,1.00元
2024-01-01,蒜头,8.50元
2024-01-01,本地小白菜,3.60元
2024-01-01,油麦菜,3.90元
2024-01-01,青梗小白菜,3.90元
2024-01-01,小葱,5.90元
2024-01-01,黄玉米,3.90元
2024-01-01,小芥菜,3.90元
2024-01-01,香菜,6.90元
2024-01-01,娃娃菜,2.60元
2024-01-01,泡椒,3.50元
2024-01-01,软皮青椒,3.90元
2024-01-01,土豆,1.00元
2024-01-01,白萝卜,1.50元
2024-01-01,菜心,3.00元
2024-01-01,上海青,2.50元
2024-01-01,空心菜,4.70元
2024-01-01,苦瓜,3.60元
2024-01-01,西芹,3.60元
2024-01-01,西红柿,4.10元
2024-01-01,圆椒,3.60元
2024-01-01,蒜苔,5.50元
2024-01-01,黑皮吊冬瓜,1.50元
2024-01-01,生姜,5.60元
2024-01-01,紫洋葱,2.50元
2024-01-01,小黄白,2.90元
2024-01-01,黑叶白,3.90元
2024-01-01,莲藕,4.50元
2024-01-01,莴笋,2.90元
2024-01-01,大葱,3.60元
2024-01-01,大芥菜,2.90元
2024-01-01,四季豆,6.50元
2024-01-01,蒜苗,5.60元
2024-01-01,小香芹,4.50元
2024-01-02,莲花白,1.90元
2024-01-02,外地大白菜,1.60元
2024-01-02,胡萝卜,1.90元
2024-01-02,生菜,2.80元
2024-01-02,地瓜叶,2.50元
2024-01-02,韭菜,3.60元
2024-01-02,茄子,2.90元
2024-01-02,黄瓜,3.50元
2024-01-02,长豆角,5.30元
2024-01-02,尖椒,2.30元
2024-01-02,金丝白,2.50元
2024-01-02,南瓜,1.00元
2024-01-02,蒜头,8.50元
2024-01-02,本地小白菜,3.60元
2024-01-02,油麦菜,3.90元
2024-01-02,青梗小白菜,3.90元
2024-01-02,小葱,5.90元
2024-01-02,黄玉米,3.90元
2024-01-02,小芥菜,3.90元
2024-01-02,香菜,6.90元
2024-01-02,娃娃菜,1.90元
2024-01-02,泡椒,3.50元
2024-01-02,芥兰,5.80元
2024-01-02,土豆,1.00元
2024-01-02,白萝卜,1.50元
2024-01-02,菜心,3.30元
2024-01-02,上海青,2.90元
2024-01-02,空心菜,4.00元
2024-01-02,苦瓜,4.00元
2024-01-02,西芹,3.60元
2024-01-02,西红柿,4.10元
2024-01-02,圆椒,3.60元
2024-01-02,蒜苔,5.50元
2024-01-02,黑皮吊冬瓜,1.50元
2024-01-02,生姜,5.60元
2024-01-02,紫洋葱,2.50元
2024-01-02,小黄白,1.00元
2024-01-02,黑叶白,3.90元
2024-01-02,莲藕,3.90元
2024-01-02,莴笋,2.90元
2024-01-02,大葱,3.60元
2024-01-02,大芥菜,2.90元
2024-01-02,四季豆,6.50元
2024-01-02,蒜苗,5.60元
2024-01-02,小香芹,4.50元
2024-01-02,软皮青椒,3.90元
2024-01-03,莲花白,1.90元
2024-01-03,外地大白菜,1.60元
2024-01-03,胡萝卜,1.90元
2024-01-03,生菜,2.80元
2024-01-03,地瓜叶,2.50元
2024-01-03,韭菜,3.60元
2024-01-03,茄子,2.90元
2024-01-03,黄瓜,3.50元
2024-01-03,长豆角,5.30元
2024-01-03,尖椒,2.30元
2024-01-03,金丝白,2.50元
2024-01-03,南瓜,1.00元
2024-01-03,蒜头,8.50元
2024-01-03,本地小白菜,3.60元
2024-01-03,油麦菜,3.90元
2024-01-03,青梗小白菜,3.90元
2024-01-03,小葱,5.90元
2024-01-03,黄玉米,3.90元
2024-01-03,小芥菜,3.90元
2024-01-03,香菜,6.90元
2024-01-03,娃娃菜,1.90元
2024-01-03,泡椒,3.50元
2024-01-03,芥兰,5.80元
2024-01-03,土豆,1.00元
2024-01-03,白萝卜,1.50元
2024-01-03,菜心,3.30元
2024-01-03,上海青,2.90元
2024-01-03,空心菜,4.00元
2024-01-03,苦瓜,4.00元
2024-01-03,西芹,3.60元
2024-01-03,西红柿,4.10元
2024-01-03,圆椒,3.60元
2024-01-03,蒜苔,5.50元
2024-01-03,黑皮吊冬瓜,1.50元
2024-01-03,生姜,5.60元
2024-01-03,紫洋葱,2.50元
2024-01-03,小黄白,1.00元
2024-01-03,黑叶白,3.90元
2024-01-03,莲藕,3.90元
2024-01-03,莴笋,2.90元
2024-01-03,大葱,3.60元
